username,reported_following,reported_followers,processed_following,processed_followers
FeldmanMSU,0,0,0,0
whylikethis_,600,929,600,41
boydgraber,1908,4214,1908,180
anyabelz,476,894,476,45
lab_nlp,155,214,155,7
rtsarfaty,487,1496,487,73
ananya__g,233,248,233,10
JesseDodge,0,0,0,0
PyWebEU,0,0,0,0
thakkarsmitp,2281,1994,2000,2
austintwang,404,83,404,0
neu_rips,685,10948,685,159
invictusqed,875,109,875,0
carlo_l_fritz,7065,521,2000,15
tmenon12,766,214,766,0
edward_the6,1853,12669,1853,36
ag_tech60,76,33,76,0
Priyanshu2193,0,0,0,0
chnyq1073163,36,0,36,0
griffi_morgan,0,0,0,0
VikDataJourney,0,0,0,0
MunichNlp,0,0,0,0
riedelcastro,460,16443,460,340
OfirPress,0,0,0,0
DufraisseEvan,0,0,0,0
PMinervini,0,0,0,0
Suuraj,0,0,0,0
_akhaliq,3042,415105,2000,923
RUppaal,0,0,0,0
mircomusolesi,998,2697,998,19
LChoshen,0,0,0,0
NooriMe95,0,0,0,0
Shivamag12,0,0,0,0
beirmug,2665,2412,2000,118
CharlotteHase,0,0,0,0
YftahZ,0,0,0,0
JZhao0109,0,0,0,0
ArthurCamara,0,0,0,0
theresia_v_r,141,130,141,8
prakhar5050,3538,1605,2000,38
mayurcb,426,535,426,0
arian_ask,799,547,799,31
macavaney,593,1769,593,52
ale_melchiorre,257,91,257,0
HamedZamani,0,0,0,0
MohammadSo76779,0,0,0,0
neldien_,774,947,773,7
itsneuron,316,287,316,2
mmitchell_ai,1289,80081,1289,408
neuro_morphic,889,1465,889,12
MultimetaSeo,0,0,0,0
sarahookr,9140,47933,2000,671
sh_reya,667,47138,667,419
t_nair_,84,2,84,0
tqchenml,1041,17545,1041,233
matei_zaharia,1372,43859,1372,330
deliprao,5119,59560,2000,493
martinlindner,2433,4451,2000,1
itlantikde,4263,116,2000,0
jxi_yang,1077,153,1077,5
yuanzhi_zhu,709,233,709,6
ethanCaballero,0,0,0,0
roydanroy,1785,55106,1785,492
navin_sg,556,33,556,0
osanseviero,2581,47994,2000,424
TeetajP,0,0,0,0
wightmanr,1267,22262,1267,282
marksaroufim,856,12067,856,213
NielsRogge,0,0,0,0
kmeanskaran,323,3676,323,20
vynride,399,102,399,0
RightclickAi,0,0,0,0
gcosma1,15971,16304,2000,66
_philschmid,1031,41509,1031,327
NishaMuktewar,0,0,0,0
iamknighton,5552,776,2000,29
CharlesHolive,0,0,0,0
ankurt,292,485,292,3
IgnacioRuizMX,0,0,0,0
BTConsultingLLC,0,0,0,0
sirakzg,5557,769,2000,16
HealthDs,0,0,0,0
orionartmuseum,4188,745,2000,1
OrionGallery,0,0,0,0
HaydenFHaskins,0,0,0,0
zhengkai1515,576,32,576,1
MatsonGroup,0,0,0,0
__kiboi,0,0,0,0
isaac_githua,81,0,81,0
yumeng_summer,211,32,211,1
gpkenney52,4471,695,2000,0
dillontkearns,832,1257,832,1
FridayAnaja,0,0,0,0
DataChaz,0,0,0,0
TheTuringPost,0,0,0,0
Shuruq_Algh,0,0,0,0
peteskomoroch,7767,51250,2000,156
vboykis,1089,53885,1089,212
Ben_Cooper3,0,0,0,0
yadapruksachatk,494,692,494,20
tlionelli,810,326,810,0
BarryTxlabz,0,0,0,0
manishkcy,1167,151,1167,0
gppcarleo,1173,6027,1173,33
LittlenortheasT,0,0,0,0
rahulpathak,2583,5016,1999,11
TheyCallMeMr_,0,0,0,0
steven_bryen,2623,3520,2000,5
EkagraRanjan,0,0,0,0
danilop,3377,28754,2000,43
ichigo_772,180,15,180,0
arpagon,5677,1451,2000,13
_0xcore,5040,284,2000,1
irenetrampoline,891,8903,891,146
EricWarriner,0,0,0,0
mahmut_ai,1394,0,0,0
i_nastasa,576,60,576,0
nishanthps,3187,618,2000,1
ledell,7178,10382,2000,101
emerson,2354,965,2000,3
NadiaAbouayoub,0,0,0,0
jaimiecole,284,72,284,1
spnichol,3631,417,2000,2
AdrienGresse,0,0,0,0
PiotrZelasko,0,0,0,0
PierreChambon6,0,0,0,0
convai_uiuc,830,351,830,28
arouditchenko,543,444,543,17
sumeetrm,2134,1417,2000,68
GTL094144,0,0,0,0
dominik_klement,143,23,143,1
YoussefNim,0,0,0,0
avkdata,2070,1667,2000,11
ExchangeRobotic,0,0,0,0
powerlifecons,1716,98,1716,0
omarneversleeps,5865,1188,2000,4
thingularitynow,1557,473,1557,3
olliezliu,854,447,854,40
shaily99,1695,6941,1695,208
realgigasigma,1285,49,1285,1
KyrieBlunders,0,0,0,0
iTanayVaswani,0,0,0,0
wedtm,3584,30886,2000,2
emiz858583,1382,204,1382,0
fiberplane,482,1359,482,4
thedanganea,1166,82,1166,0
igb,3382,19364,2000,22
yang_ML,0,0,0,0
jyangballin,775,3778,775,98
random_forests,706,31490,706,141
akhtarmubashara,983,1313,982,72
OliverasPatrick,0,0,0,0
JustDoingItBig,0,0,0,0
WilliamBarrHeld,0,0,0,0
ys_alh,260,139,260,2
maximelabonne,483,22785,483,233
Arnabsun27,0,0,0,0
TimKietzmann,0,0,0,0
bae_theorem,652,203,652,2
Rizzie_Rich,0,0,0,0
pengyifan,164,734,164,13
blazen235,399,7,399,0
bondarchukb,585,59,585,0
zeewahee,1285,240,1285,3
VinijaJain,0,0,0,0
lana_dominkovic,228,1823,228,10
mcinerneyj,810,1290,810,24
chen_xinshi,169,174,169,6
yumeng0818,331,1756,331,68
Buntworthy,0,0,0,0
amr_kayid,2960,155,2000,3
GillmanLab,0,0,0,0
savvyRL,0,0,0,0
jamesparsloe,5316,223,2000,7
pharmapsychotic,6871,18350,2000,58
aksh_555,719,401,719,21
Yahskapar,0,0,0,0
kesnet50,344,290,344,24
jie_liu1,210,676,210,12
jaeh0ng_yoon,870,1108,870,55
UrmishThakker,0,0,0,0
julien_c,1157,61625,1157,517
waxcojoel,7500,334,2000,0
j_foerst,964,20385,964,306
RobertTLange,0,0,0,0
shukanken,598,128,598,5
JohnCLangford,0,0,0,0
jasondeanlee,4138,16070,2000,280
zplus1_,958,20,958,0
VZaballa,0,0,0,0
verma_apurv5,2965,472,2000,29
jtoresson,3699,6988,2000,1
percyliang,417,80056,417,671
yash_swarup,150,53,150,0
AkariAsai,0,0,0,0
egrefen,859,40430,859,430
notkevinfarhat,250,183,250,14
CtrlShiftDrive,0,0,0,0
officialKrishD,0,0,0,0
snwdnia,0,0,0,0
olivercameron,501,45782,501,142
1000xcat,5369,638,2000,4
jasoncbenn,3134,4342,2000,33
vishnumkpn,568,29,568,0
LukeHarries_,0,0,0,0
crtfdmndblwr,100,18,100,0
TomPontingKR,0,0,0,0
HumanFramtid,0,0,0,0
karishgrover,294,1352,294,21
Fra_Fabbri,0,0,0,0
shahebazmiran,1785,826,1785,13
FedericaBologna,0,0,0,0
NimEshed,0,0,0,0
kayo_yin,684,14538,684,288
ryanandrewchi,275,383,275,23
ChrisGPotts,0,0,0,0
tilli_fe,354,183,354,4
javidanganbar,304,10,304,0
nsaphra,1231,9334,1231,295
tomgoldsteincs,2238,26508,2000,333
jacobandreas,949,19596,949,420
sachinuppal,11158,11753,2000,7
mrs_socialista,35209,45102,2000,1
msedebrahimi,960,221,960,9
farishamdi0000,1762,144,1762,0
smsnobin77,4854,125,0,5
KevMusgrave,0,0,0,0
TechHussainE,0,0,0,0
GhadimiAtigMina,0,0,0,0
mmderakhshani,880,566,880,19
znemerovchenko,2054,171,2000,0
AIHQ6,0,0,0,0
FikeDove,0,0,0,0
kashgupta_,2768,3076,2000,17
Virtualass15829,0,0,0,0
LM_Braswell,0,0,0,0
SDzobo_Oracle,0,0,0,0
WOFTMCF,0,0,0,0
noprog,1270,6347,1270,0
AyoSilhouette,0,0,0,0
dgurdasani1,5954,126529,2000,14
panda_liyin,314,1708,314,24
robinc,4503,1501,2000,30
pablomendes,1235,954,1235,12
Nathaniel_Weir,0,0,0,0
fbullini,1947,95,1947,0
HikiShindo,0,0,0,0
mohitban47,719,10904,719,335
i_amanchadha,423,4010,423,49
AIMLforEdu,0,0,0,0
tunguz,7940,248970,2000,520
Barupal_ExMLA,0,0,0,0
devaang,4477,2354,2000,17
datagarden_,36,1,36,0
matthiasboehm7,607,1314,607,19
sscdotopen,1759,2921,1758,55
NandaVelaga,0,0,0,0
mdwelsh,888,3939,888,29
jayesh_ahire1,4814,2977,2000,9
lior_gazit,3498,736,2000,12
ML_today,0,0,0,0
carlomschmidt,276,88,276,0
MichaelJKlaiber,0,0,0,0
_Mpaaba,0,0,0,0
ehsan_eqlimi,5206,718,2000,1
TheBharatiySoul,0,0,0,0
